"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"    High school graduate, GED, or alternative","964,407","182,746","18.9%","123,960","38,902","31.4%","1,011,429","204,089","20.2%","674,824","151,588","22.5%","5,034,047","1,270,070","25.2%","735,470","159,865","21.7%","657,524","88,369","13.4%","188,487","22,902","12.2%","73,273","8,413","11.5%","3,948,193","1,042,468","26.4%","1,792,944","473,487","26.4%","259,128","24,716","9.5%","270,566","57,714","21.3%","2,297,984","441,354","19.2%","1,476,915","254,805","17.3%","653,229","71,565","11.0%","497,798","89,034","17.9%","969,418","182,296","18.8%","993,428","236,046","23.8%","309,198","47,850","15.5%","987,868","145,067","14.7%","1,136,466","74,008","6.5%","1,982,977","320,900","16.2%","937,326","102,495","10.9%","563,172","126,200","22.4%","1,224,766","216,696","17.7%","201,161","49,196","24.5%","338,313","49,778","14.7%","519,300","124,022","23.9%","262,728","42,782","16.3%","1,728,685","330,332","19.1%","352,831","88,298","25.0%","3,553,874","535,882","15.1%","1,700,395","376,414","22.1%","117,605","16,239","13.8%","2,638,756","398,301","15.1%","750,371","184,011","24.5%","649,938","129,942","20.0%","3,188,926","394,092","12.4%","183,890","27,049","14.7%","934,080","211,652","22.7%","163,203","25,886","15.9%","1,406,460","293,540","20.9%","3,977,501","1,169,187","29.4%","375,729","75,639","20.1%","128,987","12,612","9.8%","1,347,893","254,775","18.9%","1,066,429","213,821","20.1%","529,596","106,542","20.1%","1,238,732","133,854","10.8%","112,979","22,445","19.9%","642,407","63,306","9.9%"
"    Some college or associate's degree","927,774","138,982","15.0%","163,605","34,430","21.0%","1,426,212","213,096","14.9%","532,508","97,246","18.3%","7,140,206","1,201,247","16.8%","1,035,212","159,985","15.5%","607,209","57,474","9.5%","159,313","13,809","8.7%","71,319","6,370","8.9%","3,881,220","771,840","19.9%","1,696,535","339,075","20.0%","295,580","22,785","7.7%","352,169","59,945","17.0%","2,395,580","330,230","13.8%","1,206,879","182,579","15.1%","634,508","64,730","10.2%","580,576","79,500","13.7%","799,600","121,506","15.2%","784,298","148,700","19.0%","271,924","32,941","12.1%","1,007,177","112,618","11.2%","1,074,314","49,901","4.6%","2,113,419","296,974","14.1%","1,153,086","108,137","9.4%","581,720","109,641","18.8%","1,183,956","181,022","15.3%","223,451","44,663","20.0%","399,525","49,327","12.3%","576,588","110,495","19.2%","259,239","30,480","11.8%","1,390,370","195,984","14.1%","411,323","86,318","21.0%","3,203,819","386,670","12.1%","1,905,087","326,626","17.1%","164,697","17,561","10.7%","2,202,481","295,856","13.4%","749,734","135,320","18.0%","914,298","155,259","17.0%","2,073,833","227,666","11.0%","191,693","20,505","10.7%","893,944","142,534","15.9%","171,755","21,586","12.6%","1,149,098","172,658","15.0%","4,581,038","973,224","21.2%","585,354","88,099","15.1%","112,195","9,024","8.0%","1,421,069","182,976","12.9%","1,542,164","220,505","14.3%","305,600","47,714","15.6%","1,165,757","107,190","9.2%","134,443","22,395","16.7%","516,852","52,324","10.1%"
"    Bachelor's degree or higher","703,194","33,986","4.8%","117,416","9,562","8.1%","1,111,658","82,163","7.4%","391,793","26,172","6.7%","7,364,268","626,899","8.5%","1,233,762","84,190","6.8%","877,402","40,300","4.6%","175,662","8,687","4.9%","223,880","10,569","4.7%","3,401,281","384,601","11.3%","1,724,059","157,627","9.1%","265,514","12,109","4.6%","250,446","21,058","8.4%","2,630,316","171,491","6.5%","972,787","56,985","5.9%","519,781","19,164","3.7%","550,750","27,299","5.0%","611,462","34,874","5.7%","619,332","46,478","7.5%","265,945","14,741","5.5%","1,430,807","82,604","5.8%","1,754,856","37,330","2.1%","1,681,605","95,530","5.7%","1,146,965","44,931","3.9%","374,540","27,982","7.5%","1,037,348","57,626","5.6%","189,827","16,956","8.9%","331,353","13,842","4.2%","401,840","42,336","10.5%","303,294","16,383","5.4%","2,109,697","140,535","6.7%","342,500","24,313","7.1%","4,323,765","330,495","7.6%","1,705,402","111,256","6.5%","117,050","4,048","3.5%","1,898,027","95,531","5.0%","581,815","39,604","6.8%","772,538","64,903","8.4%","2,336,279","117,109","5.0%","219,574","12,145","5.5%","739,255","52,524","7.1%","139,852","5,950","4.3%","1,005,778","62,673","6.2%","4,203,370","388,517","9.2%","475,935","34,882","7.3%","153,072","6,032","3.9%","1,865,533","98,761","5.3%","1,446,633","86,171","6.0%","237,917","15,541","6.5%","1,008,611","38,802","3.8%","92,187","5,923","6.4%","566,940","38,482","6.8%"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and older","3,597,942","614,903","17.1%","511,564","118,551","23.2%","4,756,450","886,591","18.6%","2,176,324","452,360","20.8%","27,909,323","5,980,807","21.4%","3,798,057","643,893","17.0%","2,720,359","285,568","10.5%","687,837","74,616","10.8%","502,853","37,874","7.5%","14,765,348","3,436,269","23.3%","7,135,025","1,646,190","23.1%","1,021,988","83,419","8.2%","1,138,581","220,126","19.3%","9,596,119","1,545,964","16.1%","4,824,008","802,104","16.6%","2,295,904","237,749","10.4%","2,092,319","308,285","14.7%","3,261,409","556,014","17.0%","3,355,775","719,380","21.4%","1,044,220","126,000","12.1%","4,392,090","536,958","12.2%","5,105,723","252,841","5.0%","7,472,775","1,056,101","14.1%","4,010,693","387,609","9.7%","2,162,239","455,430","21.1%","4,489,713","712,480","15.9%","761,112","154,013","20.2%","1,355,197","180,202","13.3%","2,024,630","481,390","23.8%","1,024,658","126,730","12.4%","6,674,815","1,033,939","15.5%","1,530,455","358,715","23.4%","14,938,309","2,014,515","13.5%","7,174,146","1,370,335","19.1%","518,572","55,833","10.8%","8,680,762","1,197,229","13.8%","2,776,475","594,161","21.4%","2,971,581","539,490","18.2%","9,785,016","1,115,321","11.4%","816,493","103,162","12.6%","3,499,755","675,113","19.3%","604,801","83,869","13.9%","4,814,572","837,723","17.4%","18,250,484","4,873,324","26.7%","1,911,836","328,822","17.2%","494,560","38,190","7.7%","6,038,083","874,378","14.5%","5,138,643","855,422","16.6%","1,441,183","255,293","17.7%","4,311,142","448,438","10.4%","424,238","74,193","17.5%","2,804,850","246,148","8.8%"
"    In labor force","2,215,910","447,470","20.2%","372,253","91,124","24.5%","2,986,230","648,535","21.7%","1,348,900","330,986","24.5%","18,594,164","4,429,953","23.8%","2,713,078","512,993","18.9%","1,918,863","232,907","12.1%","455,346","57,715","12.7%","349,220","28,156","8.1%","9,162,654","2,594,873","28.3%","4,722,895","1,219,798","25.8%","676,085","55,288","8.2%","748,898","168,829","22.5%","6,569,985","1,162,625","17.7%","3,215,704","606,574","18.9%","1,606,811","185,447","11.5%","1,474,462","239,513","16.2%","2,024,676","393,840","19.5%","2,149,553","527,846","24.6%","693,093","105,108","15.2%","3,135,864","424,809","13.5%","3,559,293","204,485","5.7%","4,747,117","819,184","17.3%","2,900,425","320,435","11.0%","1,318,834","318,260","24.1%","2,974,202","535,694","18.0%","512,611","121,645","23.7%","986,207","147,043","14.9%","1,368,343","352,279","25.7%","721,191","102,694","14.2%","4,607,619","799,566","17.4%","964,987","262,319","27.2%","9,808,332","1,544,752","15.7%","4,692,716","1,045,162","22.3%","375,656","43,300","11.5%","5,724,843","897,608","15.7%","1,789,412","427,042","23.9%","1,920,949","416,670","21.7%","6,356,361","859,163","13.5%","560,325","83,059","14.8%","2,206,582","497,534","22.5%","431,451","67,040","15.5%","3,073,353","607,816","19.8%","12,371,339","3,561,824","28.8%","1,342,251","255,886","19.1%","343,955","33,792","9.8%","4,123,879","657,220","15.9%","3,440,768","650,690","18.9%","811,915","176,544","21.7%","3,016,446","357,954","11.9%","301,034","58,113","19.3%","1,347,618","172,401","12.8%"
"        Employed","1,967,299","316,360","16.1%","339,964","74,265","21.8%","2,664,190","524,488","19.7%","1,226,061","259,697","21.2%","16,349,776","3,415,037","20.9%","2,469,729","409,019","16.6%","1,722,333","176,482","10.2%","416,619","46,418","11.1%","310,081","20,043","6.5%","8,055,880","1,986,604","24.7%","4,164,978","912,071","21.9%","625,332","41,110","6.6%","676,306","134,146","19.8%","5,868,918","868,352","14.8%","2,902,048","458,296","15.8%","1,512,748","153,612","10.2%","1,369,401","188,865","13.8%","1,819,024","290,742","16.0%","1,957,626","424,975","21.7%","635,853","83,669","13.2%","2,866,188","328,194","11.5%","3,244,324","159,996","4.9%","4,147,376","585,078","14.1%","2,686,970","258,849","9.6%","1,173,376","235,100","20.0%","2,705,399","408,144","15.1%","473,609","100,219","21.2%","928,281","121,169","13.1%","1,198,677","259,386","21.6%","673,585","84,938","12.6%","4,118,106","601,164","14.6%","861,369","207,877","24.1%","8,891,457","1,257,801","14.1%","4,160,783","781,839","18.8%","364,361","39,791","10.9%","5,152,039","660,236","12.8%","1,660,413","351,063","21.1%","1,695,978","313,371","18.5%","5,780,571","641,914","11.1%","505,716","62,479","12.4%","1,949,986","360,032","18.5%","408,412","55,193","13.5%","2,757,089","457,448","16.6%","11,353,126","2,987,277","26.3%","1,239,839","205,990","16.6%","322,418","29,679","9.2%","3,823,842","521,232","13.6%","3,096,009","491,996","15.9%","741,943","139,932","18.9%","2,776,642","279,486","10.1%","286,087","50,717","17.7%","1,101,281","132,600","12.0%"
"        Unemployed","248,611","131,110","52.7%","32,289","16,859","52.2%","322,040","124,047","38.5%","122,839","71,289","58.0%","2,244,388","1,014,916","45.2%","243,349","103,974","42.7%","196,530","56,425","28.7%","38,727","11,297","29.2%","39,139","8,113","20.7%","1,106,774","608,269","55.0%","557,917","307,727","55.2%","50,753","14,178","27.9%","72,592","34,683","47.8%","701,067","294,273","42.0%","313,656","148,278","47.3%","94,063","31,835","33.8%","105,061","50,648","48.2%","205,652","103,098","50.1%","191,927","102,871","53.6%","57,240","21,439","37.5%","269,676","96,615","35.8%","314,969","44,489","14.1%","599,741","234,106","39.0%","213,455","61,586","28.9%","145,458","83,160","57.2%","268,803","127,550","47.5%","39,002","21,426","54.9%","57,926","25,874","44.7%","169,666","92,893","54.8%","47,606","17,756","37.3%","489,513","198,402","40.5%","103,618","54,442","52.5%","916,875","286,951","31.3%","531,933","263,323","49.5%","11,295","3,509","31.1%","572,804","237,372","41.4%","128,999","75,979","58.9%","224,971","103,299","45.9%","575,790","217,249","37.7%","54,609","20,580","37.7%","256,596","137,502","53.6%","23,039","11,847","51.4%","316,264","150,368","47.5%","1,018,213","574,547","56.4%","102,412","49,896","48.7%","21,537","4,113","19.1%","300,037","135,988","45.3%","344,759","158,694","46.0%","69,972","36,612","52.3%","239,804","78,468","32.7%","14,947","7,396","49.5%","246,337","39,801","16.2%"
"    Not in labor force","1,382,032","167,433","12.1%","139,311","27,427","19.7%","1,770,220","238,056","13.4%","827,424","121,374","14.7%","9,315,159","1,550,854","16.6%","1,084,979","130,900","12.1%","801,496","52,661","6.6%","232,491","16,901","7.3%","153,633","9,718","6.3%","5,602,694","841,396","15.0%","2,412,130","426,392","17.7%","345,903","28,131","8.1%","389,683","51,297","13.2%","3,026,134","383,339","12.7%","1,608,304","195,530","12.2%","689,093","52,302","7.6%","617,857","68,772","11.1%","1,236,733","162,174","13.1%","1,206,222","191,534","15.9%","351,127","20,892","5.9%","1,256,226","112,149","8.9%","1,546,430","48,356","3.1%","2,725,658","236,917","8.7%","1,110,268","67,174","6.1%","843,405","137,170","16.3%","1,515,511","176,786","11.7%","248,501","32,368","13.0%","368,990","33,159","9.0%","656,287","129,111","19.7%","303,467","24,036","7.9%","2,067,196","234,373","11.3%","565,468","96,396","17.0%","5,129,977","469,763","9.2%","2,481,430","325,173","13.1%","142,916","12,533","8.8%","2,955,919","299,621","10.1%","987,063","167,119","16.9%","1,050,632","122,820","11.7%","3,428,655","256,158","7.5%","256,168","20,103","7.8%","1,293,173","177,579","13.7%","173,350","16,829","9.7%","1,741,219","229,907","13.2%","5,879,145","1,311,500","22.3%","569,585","72,936","12.8%","150,605","4,398","2.9%","1,914,204","217,158","11.3%","1,697,875","204,732","12.1%","629,268","78,749","12.5%","1,294,696","90,484","7.0%","123,204","16,080","13.1%","1,457,232","73,747","5.1%"
"WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and older","3,597,942","614,903","17.1%","511,564","118,551","23.2%","4,756,450","886,591","18.6%","2,176,324","452,360","20.8%","27,909,323","5,980,807","21.4%","3,798,057","643,893","17.0%","2,720,359","285,568","10.5%","687,837","74,616","10.8%","502,853","37,874","7.5%","14,765,348","3,436,269","23.3%","7,135,025","1,646,190","23.1%","1,021,988","83,419","8.2%","1,138,581","220,126","19.3%","9,596,119","1,545,964","16.1%","4,824,008","802,104","16.6%","2,295,904","237,749","10.4%","2,092,319","308,285","14.7%","3,261,409","556,014","17.0%","3,355,775","719,380","21.4%","1,044,220","126,000","12.1%","4,392,090","536,958","12.2%","5,105,723","252,841","5.0%","7,472,775","1,056,101","14.1%","4,010,693","387,609","9.7%","2,162,239","455,430","21.1%","4,489,713","712,480","15.9%","761,112","154,013","20.2%","1,355,197","180,202","13.3%","2,024,630","481,390","23.8%","1,024,658","126,730","12.4%","6,674,815","1,033,939","15.5%","1,530,455","358,715","23.4%","14,938,309","2,014,515","13.5%","7,174,146","1,370,335","19.1%","518,572","55,833","10.8%","8,680,762","1,197,229","13.8%","2,776,475","594,161","21.4%","2,971,581","539,490","18.2%","9,785,016","1,115,321","11.4%","816,493","103,162","12.6%","3,499,755","675,113","19.3%","604,801","83,869","13.9%","4,814,572","837,723","17.4%","18,250,484","4,873,324","26.7%","1,911,836","328,822","17.2%","494,560","38,190","7.7%","6,038,083","874,378","14.5%","5,138,643","855,422","16.6%","1,441,183","255,293","17.7%","4,311,142","448,438","10.4%","424,238","74,193","17.5%","2,804,850","246,148","8.8%"
"    Worked full-time, year round in the past 12 months","1,423,212","177,257","12.5%","223,786","39,370","17.6%","1,856,480","309,976","16.7%","878,990","145,533","16.6%","10,852,493","1,797,841","16.6%","1,688,005","216,200","12.8%","1,165,186","88,839","7.6%","295,025","28,773","9.8%","241,679","13,161","5.4%","5,607,707","1,140,722","20.3%","2,951,061","502,898","17.0%","439,427","18,146","4.1%","438,264","64,944","14.8%","4,061,048","475,430","11.7%","1,990,388","237,318","11.9%","1,058,049","83,817","7.9%","973,636","103,740","10.7%","1,257,766","149,548","11.9%","1,399,348","251,924","18.0%","419,329","44,237","10.5%","2,095,745","184,333","8.8%","2,171,727","84,959","3.9%","2,674,951","273,632","10.2%","1,795,112","136,307","7.6%","843,545","132,223","15.7%","1,894,525","212,824","11.2%","305,044","51,626","16.9%","664,300","67,772","10.2%","830,925","134,966","16.2%","466,321","42,973","9.2%","2,932,596","359,218","12.2%","595,533","123,346","20.7%","6,283,424","778,250","12.4%","2,884,470","419,417","14.5%","254,056","24,120","9.5%","3,543,252","339,004","9.6%","1,201,000","200,810","16.7%","1,066,308","146,493","13.7%","4,013,351","342,871","8.5%","339,290","32,424","9.6%","1,367,864","197,538","14.4%","299,539","33,930","11.3%","1,946,878","251,623","12.9%","8,320,543","1,811,397","21.8%","806,562","102,403","12.7%","212,548","17,659","8.3%","2,797,666","291,314","10.4%","2,057,145","229,672","11.2%","534,853","82,493","15.4%","1,865,741","149,297","8.0%","204,887","30,593","14.9%","763,216","79,784","10.5%"
"    Worked less than full-time, year round in the past 12 months","809,868","237,085","29.3%","167,698","55,083","32.8%","1,118,143","306,453","27.4%","495,766","177,334","35.8%","7,398,888","2,294,375","31.0%","1,085,606","282,160","26.0%","750,235","121,455","16.2%","171,117","26,855","15.7%","112,647","13,482","12.0%","3,367,103","1,222,809","36.3%","1,684,215","603,994","35.9%","241,146","33,338","13.8%","339,987","102,082","30.0%","2,472,956","577,580","23.4%","1,287,054","336,719","26.2%","622,872","102,881","16.5%","546,965","131,908","24.1%","792,857","225,248","28.4%","789,238","264,429","33.5%","301,232","60,751","20.2%","1,052,981","208,437","19.8%","1,458,789","113,145","7.8%","2,049,014","464,411","22.7%","1,187,300","176,398","14.9%","467,695","161,326","34.5%","1,144,807","303,215","26.5%","233,716","71,619","30.6%","367,639","79,768","21.7%","509,099","188,163","37.0%","279,076","56,895","20.4%","1,595,433","360,208","22.6%","376,787","128,432","34.1%","3,565,109","685,820","19.2%","1,798,304","543,345","30.2%","147,955","22,406","15.1%","2,228,957","486,208","21.8%","648,233","223,759","34.5%","897,083","251,080","28.0%","2,485,237","464,814","18.7%","224,371","43,195","19.3%","834,307","250,749","30.1%","157,652","33,687","21.4%","1,146,376","323,129","28.2%","4,236,591","1,689,117","39.9%","576,879","148,459","25.7%","155,519","16,190","10.4%","1,438,555","341,375","23.7%","1,440,707","391,981","27.2%","309,977","92,316","29.8%","1,237,388","194,692","15.7%","113,951","30,413","26.7%","446,579","73,429","16.4%"
"    Did not work","1,364,862","200,561","14.7%","120,080","24,098","20.1%","1,781,827","270,162","15.2%","801,568","129,493","16.2%","9,657,942","1,888,591","19.6%","1,024,446","145,533","14.2%","804,938","75,274","9.4%","221,695","18,988","8.6%","148,527","11,231","7.6%","5,790,538","1,072,738","18.5%","2,499,749","539,298","21.6%","341,415","31,935","9.4%","360,330","53,100","14.7%","3,062,115","492,954","16.1%","1,546,566","228,067","14.7%","614,983","51,051","8.3%","571,718","72,637","12.7%","1,210,786","181,218","15.0%","1,167,189","203,027","17.4%","323,659","21,012","6.5%","1,243,364","144,188","11.6%","1,475,207","54,737","3.7%","2,748,810","318,058","11.6%","1,028,281","74,904","7.3%","850,999","161,881","19.0%","1,450,381","196,441","13.5%","222,352","30,768","13.8%","323,258","32,662","10.1%","684,606","158,261","23.1%","279,261","26,862","9.6%","2,146,786","314,513","14.7%","558,135","106,937","19.2%","5,089,776","550,445","10.8%","2,491,372","407,573","16.4%","116,561","9,307","8.0%","2,908,553","372,017","12.8%","927,242","169,592","18.3%","1,008,190","141,917","14.1%","3,286,428","307,636","9.4%","252,832","27,543","10.9%","1,297,584","226,826","17.5%","147,610","16,252","11.0%","1,721,318","262,971","15.3%","5,693,350","1,372,810","24.1%","528,395","77,960","14.8%","126,493","4,341","3.4%","1,801,862","241,689","13.4%","1,640,791","233,769","14.2%","596,353","80,484","13.5%","1,208,013","104,449","8.6%","105,400","13,187","12.5%","1,595,055","92,935","5.8%"
"HOUSEHOLD INCOME (IN 2011 INFLATION ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian household population","4,673,401","667,052","14.3%","684,433","135,418","19.8%","6,328,566","1,088,037","17.2%","2,854,185","487,911","17.1%","36,796,741","6,665,539","18.1%","4,981,540","755,533","15.2%","3,457,903","306,401","8.9%","879,693","83,506","9.5%","576,952","39,606","6.9%","18,599,703","3,869,878","20.8%","9,527,017","1,865,101","19.6%","1,307,027","91,854","7.0%","1,554,236","258,342","16.6%","12,558,702","1,647,511","13.1%","6,326,280","919,101","14.5%","2,962,638","265,340","9.0%","2,779,771","350,304","12.6%","4,235,115","610,852","14.4%","4,436,606","775,857","17.5%","1,291,116","137,901","10.7%","5,672,614","594,186","10.5%","6,344,318","270,882","4.3%","9,643,318","1,134,190","11.8%","5,207,641","463,959","8.9%","2,878,920","508,229","17.7%","5,828,317","797,989","13.7%","966,972","177,218","18.3%","1,787,299","205,747","11.5%","2,677,692","585,940","21.9%","1,277,331","134,393","10.5%","8,628,252","1,128,448","13.1%","2,031,665","401,636","19.8%","18,861,644","2,166,167","11.5%","9,343,371","1,529,568","16.4%","655,424","63,358","9.7%","11,229,449","1,341,555","11.9%","3,669,954","688,016","18.7%","3,782,785","595,377","15.7%","12,303,792","1,249,332","10.2%","1,006,771","109,128","10.8%","4,523,252","758,439","16.8%","786,849","94,938","12.1%","6,234,793","913,878","14.7%","25,026,957","5,757,613","23.0%","2,766,180","422,906","15.3%","600,406","40,590","6.8%","7,786,348","974,010","12.5%","6,647,546","945,814","14.2%","1,805,505","269,717","14.9%","5,557,254","498,637","9.0%","552,324","84,676","15.3%","3,666,922","279,454","7.6%"
