"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"    High school graduate, GED, or alternative","966,484","173,969","18.0%","110,799","32,870","29.7%","1,015,614","208,622","20.5%","649,806","141,672","21.8%","4,896,838","1,197,481","24.5%","736,573","166,812","22.6%","667,833","85,384","12.8%","191,719","22,904","11.9%","82,001","9,999","12.2%","3,831,739","999,905","26.1%","1,773,719","455,821","25.7%","256,574","25,295","9.9%","276,285","61,310","22.2%","2,283,004","433,718","19.0%","1,488,186","247,726","16.6%","662,823","71,014","10.7%","494,771","87,355","17.7%","969,213","189,596","19.6%","981,713","231,086","23.5%","316,025","44,282","14.0%","978,392","152,751","15.6%","1,138,878","80,154","7.0%","1,989,617","328,805","16.5%","945,538","98,750","10.4%","565,729","127,920","22.6%","1,233,429","208,082","16.9%","197,300","45,672","23.1%","327,275","46,831","14.3%","523,570","130,239","24.9%","265,559","43,630","16.4%","1,722,709","304,898","17.7%","348,280","88,161","25.3%","3,546,929","528,537","14.9%","1,709,375","371,131","21.7%","116,839","14,979","12.8%","2,658,592","404,739","15.2%","761,628","187,908","24.7%","641,708","139,124","21.7%","3,166,900","369,653","11.7%","188,957","25,502","13.5%","917,905","205,912","22.4%","163,158","24,004","14.7%","1,394,537","276,184","19.8%","3,911,702","1,160,946","29.7%","381,287","79,325","20.8%","133,461","16,163","12.1%","1,325,072","244,801","18.5%","1,048,925","205,083","19.6%","527,357","94,044","17.8%","1,240,131","135,424","10.9%","109,227","22,090","20.2%","618,173","63,031","10.2%"
"    Some college or associate's degree","901,486","129,708","14.4%","162,659","31,341","19.3%","1,411,603","198,008","14.0%","542,173","96,272","17.8%","7,057,097","1,151,491","16.3%","994,551","156,779","15.8%","594,611","58,555","9.8%","160,394","12,894","8.0%","69,405","6,205","8.9%","3,835,312","764,488","19.9%","1,697,086","339,032","20.0%","281,295","24,216","8.6%","343,519","59,775","17.4%","2,385,628","335,378","14.1%","1,182,050","173,546","14.7%","635,839","60,497","9.5%","568,586","83,153","14.6%","766,010","117,246","15.3%","754,517","147,867","19.6%","270,342","29,301","10.8%","990,681","104,747","10.6%","1,054,126","50,862","4.8%","2,118,445","299,900","14.2%","1,139,849","104,024","9.1%","576,040","103,218","17.9%","1,149,645","158,600","13.8%","218,481","40,822","18.7%","388,737","46,631","12.0%","585,852","109,491","18.7%","259,095","32,076","12.4%","1,369,348","186,426","13.6%","419,500","80,174","19.1%","3,181,888","376,233","11.8%","1,888,836","324,165","17.2%","154,792","14,518","9.4%","2,155,032","274,609","12.7%","747,947","135,488","18.1%","904,843","158,524","17.5%","2,034,588","217,116","10.7%","183,234","21,583","11.8%","874,398","150,239","17.2%","164,917","22,125","13.4%","1,130,365","150,214","13.3%","4,490,591","931,656","20.7%","576,401","84,066","14.6%","110,720","10,366","9.4%","1,394,832","179,277","12.9%","1,540,851","218,294","14.2%","306,001","47,615","15.6%","1,144,409","100,675","8.8%","138,960","22,060","15.9%","526,582","53,283","10.1%"
"    Bachelor's degree or higher","685,395","35,417","5.2%","122,920","10,514","8.6%","1,066,295","64,656","6.1%","370,576","23,871","6.4%","7,206,310","610,733","8.5%","1,201,011","79,822","6.6%","860,803","36,502","4.2%","165,775","7,442","4.5%","207,236","11,893","5.7%","3,345,946","372,383","11.1%","1,684,769","140,654","8.3%","266,456","13,723","5.2%","239,741","19,555","8.2%","2,590,995","178,545","6.9%","952,414","56,262","5.9%","500,506","20,129","4.0%","539,788","28,089","5.2%","591,408","33,617","5.7%","624,717","46,088","7.4%","249,983","14,157","5.7%","1,382,878","66,349","4.8%","1,728,516","36,468","2.1%","1,649,257","95,316","5.8%","1,117,629","41,647","3.7%","366,905","24,333","6.6%","1,010,695","53,497","5.3%","192,351","15,978","8.3%","335,645","15,026","4.5%","385,115","43,910","11.4%","296,069","16,924","5.7%","2,105,208","145,949","6.9%","332,296","23,331","7.0%","4,241,029","300,297","7.1%","1,651,802","105,861","6.4%","121,138","5,537","4.6%","1,888,726","99,851","5.3%","553,298","40,171","7.3%","748,530","57,726","7.7%","2,329,307","110,457","4.7%","211,542","12,921","6.1%","746,166","53,810","7.2%","137,964","5,715","4.1%","974,947","55,747","5.7%","4,056,248","356,065","8.8%","463,065","30,914","6.7%","143,985","4,949","3.4%","1,797,009","88,332","4.9%","1,386,558","84,021","6.1%","225,379","16,741","7.4%","996,371","39,405","4.0%","88,634","5,932","6.7%","541,074","34,920","6.5%"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and older","3,569,131","619,634","17.4%","501,265","113,997","22.7%","4,680,243","857,165","18.3%","2,158,237","454,118","21.0%","27,526,878","5,992,161","21.8%","3,730,665","664,981","17.8%","2,704,903","296,019","10.9%","679,186","74,789","11.0%","493,292","42,855","8.7%","14,543,834","3,434,126","23.6%","7,027,555","1,631,562","23.2%","1,012,016","92,648","9.2%","1,123,339","230,400","20.5%","9,551,526","1,605,451","16.8%","4,789,150","805,248","16.8%","2,283,123","250,765","11.0%","2,079,024","329,663","15.9%","3,224,339","585,861","18.2%","3,326,985","729,269","21.9%","1,039,939","122,130","11.7%","4,337,987","576,563","13.3%","5,063,321","264,035","5.2%","7,432,208","1,112,281","15.0%","3,971,070","392,094","9.9%","2,150,922","464,593","21.6%","4,466,134","685,749","15.4%","754,107","141,423","18.8%","1,343,180","181,919","13.5%","2,005,224","488,361","24.4%","1,016,909","131,334","12.9%","6,636,086","1,027,702","15.5%","1,515,041","345,667","22.8%","14,832,620","2,068,921","13.9%","7,080,012","1,393,137","19.7%","510,503","54,832","10.7%","8,643,518","1,236,989","14.3%","2,747,857","601,030","21.9%","2,933,745","575,753","19.6%","9,727,767","1,126,996","11.6%","812,773","113,694","14.0%","3,458,358","693,418","20.1%","597,248","82,191","13.8%","4,766,449","819,317","17.2%","17,903,428","4,878,981","27.3%","1,879,971","327,233","17.4%","490,225","47,253","9.6%","5,957,751","898,750","15.1%","5,055,145","843,975","16.7%","1,438,098","248,643","17.3%","4,279,244","462,090","10.8%","418,781","72,068","17.2%","2,798,196","258,327","9.2%"
"    In labor force","2,215,684","451,239","20.4%","366,536","88,202","24.1%","2,973,902","627,358","21.1%","1,358,408","340,692","25.1%","18,475,643","4,459,869","24.1%","2,679,222","531,673","19.8%","1,910,246","237,581","12.4%","448,420","57,980","12.9%","339,312","33,596","9.9%","9,119,284","2,613,516","28.7%","4,713,376","1,212,949","25.7%","687,213","64,552","9.4%","747,295","175,289","23.5%","6,580,830","1,216,663","18.5%","3,200,249","609,968","19.1%","1,618,197","201,665","12.5%","1,463,137","260,491","17.8%","2,015,477","423,297","21.0%","2,161,901","546,141","25.3%","688,666","99,356","14.4%","3,119,935","455,526","14.6%","3,532,543","215,855","6.1%","4,797,767","884,585","18.4%","2,883,777","326,967","11.3%","1,324,449","327,848","24.8%","2,984,305","530,007","17.8%","497,412","109,077","21.9%","979,954","150,085","15.3%","1,380,667","365,015","26.4%","729,442","107,739","14.8%","4,591,119","791,256","17.2%","949,402","246,616","26.0%","9,784,777","1,576,001","16.1%","4,665,316","1,066,767","22.9%","370,352","44,711","12.1%","5,750,908","949,068","16.5%","1,784,842","441,112","24.7%","1,928,482","442,975","23.0%","6,353,310","872,639","13.7%","541,752","88,550","16.3%","2,213,342","520,294","23.5%","424,949","65,245","15.4%","3,042,928","598,815","19.7%","12,210,587","3,579,736","29.3%","1,328,039","255,352","19.2%","344,569","42,130","12.2%","4,091,954","679,249","16.6%","3,403,966","640,654","18.8%","811,679","174,093","21.4%","3,022,533","374,863","12.4%","293,872","57,437","19.5%","1,378,706","177,313","12.9%"
"        Employed","1,961,736","312,944","16.0%","333,032","71,552","21.5%","2,633,652","494,610","18.8%","1,233,834","264,783","21.5%","16,164,847","3,382,756","20.9%","2,423,259","414,748","17.1%","1,716,544","177,383","10.3%","407,894","45,014","11.0%","297,881","22,510","7.6%","7,927,394","1,954,192","24.7%","4,136,513","887,662","21.5%","632,095","46,850","7.4%","675,058","138,326","20.5%","5,854,343","901,852","15.4%","2,864,781","446,191","15.6%","1,513,939","163,065","10.8%","1,350,489","206,189","15.3%","1,796,832","300,069","16.7%","1,951,767","430,018","22.0%","633,358","80,983","12.8%","2,856,799","350,812","12.3%","3,185,038","157,158","4.9%","4,093,417","587,691","14.4%","2,651,858","260,786","9.8%","1,167,020","232,587","19.9%","2,697,159","393,879","14.6%","461,549","90,721","19.7%","918,695","120,197","13.1%","1,189,812","256,276","21.5%","674,072","83,404","12.4%","4,105,423","599,526","14.6%","861,289","201,711","23.4%","8,846,034","1,257,499","14.2%","4,091,227","762,673","18.6%","356,806","40,173","11.3%","5,117,847","671,350","13.1%","1,644,150","360,098","21.9%","1,689,242","321,649","19.0%","5,765,434","643,187","11.2%","485,035","65,722","13.5%","1,937,202","371,995","19.2%","400,810","53,325","13.3%","2,709,672","442,955","16.3%","11,167,153","2,971,612","26.6%","1,210,094","199,400","16.5%","317,399","35,823","11.3%","3,780,436","527,945","14.0%","3,047,364","470,334","15.4%","741,134","137,878","18.6%","2,759,616","284,040","10.3%","276,231","47,547","17.2%","1,121,319","130,175","11.6%"
"        Unemployed","253,948","138,295","54.5%","33,504","16,650","49.7%","340,250","132,748","39.0%","124,574","75,909","60.9%","2,310,796","1,077,113","46.6%","255,963","116,925","45.7%","193,702","60,198","31.1%","40,526","12,966","32.0%","41,431","11,086","26.8%","1,191,890","659,324","55.3%","576,863","325,287","56.4%","55,118","17,702","32.1%","72,237","36,963","51.2%","726,487","314,811","43.3%","335,468","163,777","48.8%","104,258","38,600","37.0%","112,648","54,302","48.2%","218,645","123,228","56.4%","210,134","116,123","55.3%","55,308","18,373","33.2%","263,136","104,714","39.8%","347,505","58,697","16.9%","704,350","296,894","42.2%","231,919","66,181","28.5%","157,429","95,261","60.5%","287,146","136,128","47.4%","35,863","18,356","51.2%","61,259","29,888","48.8%","190,855","108,739","57.0%","55,370","24,335","43.9%","485,696","191,730","39.5%","88,113","44,905","51.0%","938,743","318,502","33.9%","574,089","304,094","53.0%","13,546","4,538","33.5%","633,061","277,718","43.9%","140,692","81,014","57.6%","239,240","121,326","50.7%","587,876","229,452","39.0%","56,717","22,828","40.2%","276,140","148,299","53.7%","24,139","11,920","49.4%","333,256","155,860","46.8%","1,043,434","608,124","58.3%","117,945","55,952","47.4%","27,170","6,307","23.2%","311,518","151,304","48.6%","356,602","170,320","47.8%","70,545","36,215","51.3%","262,917","90,823","34.5%","17,641","9,890","56.1%","257,387","47,138","18.3%"
"    Not in labor force","1,353,447","168,395","12.4%","134,729","25,795","19.1%","1,706,341","229,807","13.5%","799,829","113,426","14.2%","9,051,235","1,532,292","16.9%","1,051,443","133,308","12.7%","794,657","58,438","7.4%","230,766","16,809","7.3%","153,980","9,259","6.0%","5,424,550","820,610","15.1%","2,314,179","418,613","18.1%","324,803","28,096","8.7%","376,044","55,111","14.7%","2,970,696","388,788","13.1%","1,588,901","195,280","12.3%","664,926","49,100","7.4%","615,887","69,172","11.2%","1,208,862","162,564","13.4%","1,165,084","183,128","15.7%","351,273","22,774","6.5%","1,218,052","121,037","9.9%","1,530,778","48,180","3.1%","2,634,441","227,696","8.6%","1,087,293","65,127","6.0%","826,473","136,745","16.5%","1,481,829","155,742","10.5%","256,695","32,346","12.6%","363,226","31,834","8.8%","624,557","123,346","19.7%","287,467","23,595","8.2%","2,044,967","236,446","11.6%","565,639","99,051","17.5%","5,047,843","492,920","9.8%","2,414,696","326,370","13.5%","140,151","10,121","7.2%","2,892,610","287,921","10.0%","963,015","159,918","16.6%","1,005,263","132,778","13.2%","3,374,457","254,357","7.5%","271,021","25,144","9.3%","1,245,016","173,124","13.9%","172,299","16,946","9.8%","1,723,521","220,502","12.8%","5,692,841","1,299,245","22.8%","551,932","71,881","13.0%","145,656","5,123","3.5%","1,865,797","219,501","11.8%","1,651,179","203,321","12.3%","626,419","74,550","11.9%","1,256,711","87,227","6.9%","124,909","14,631","11.7%","1,419,490","81,014","5.7%"
"WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and older","3,569,131","619,634","17.4%","501,265","113,997","22.7%","4,680,243","857,165","18.3%","2,158,237","454,118","21.0%","27,526,878","5,992,161","21.8%","3,730,665","664,981","17.8%","2,704,903","296,019","10.9%","679,186","74,789","11.0%","493,292","42,855","8.7%","14,543,834","3,434,126","23.6%","7,027,555","1,631,562","23.2%","1,012,016","92,648","9.2%","1,123,339","230,400","20.5%","9,551,526","1,605,451","16.8%","4,789,150","805,248","16.8%","2,283,123","250,765","11.0%","2,079,024","329,663","15.9%","3,224,339","585,861","18.2%","3,326,985","729,269","21.9%","1,039,939","122,130","11.7%","4,337,987","576,563","13.3%","5,063,321","264,035","5.2%","7,432,208","1,112,281","15.0%","3,971,070","392,094","9.9%","2,150,922","464,593","21.6%","4,466,134","685,749","15.4%","754,107","141,423","18.8%","1,343,180","181,919","13.5%","2,005,224","488,361","24.4%","1,016,909","131,334","12.9%","6,636,086","1,027,702","15.5%","1,515,041","345,667","22.8%","14,832,620","2,068,921","13.9%","7,080,012","1,393,137","19.7%","510,503","54,832","10.7%","8,643,518","1,236,989","14.3%","2,747,857","601,030","21.9%","2,933,745","575,753","19.6%","9,727,767","1,126,996","11.6%","812,773","113,694","14.0%","3,458,358","693,418","20.1%","597,248","82,191","13.8%","4,766,449","819,317","17.2%","17,903,428","4,878,981","27.3%","1,879,971","327,233","17.4%","490,225","47,253","9.6%","5,957,751","898,750","15.1%","5,055,145","843,975","16.7%","1,438,098","248,643","17.3%","4,279,244","462,090","10.8%","418,781","72,068","17.2%","2,798,196","258,327","9.2%"
"    Worked full-time, year round in the past 12 months","1,392,166","165,120","11.9%","212,727","33,281","15.6%","1,820,532","288,587","15.9%","870,498","142,303","16.3%","10,770,580","1,765,572","16.4%","1,654,678","215,534","13.0%","1,161,537","83,671","7.2%","288,394","24,925","8.6%","226,540","14,012","6.2%","5,519,810","1,119,021","20.3%","2,972,146","491,602","16.5%","442,582","23,856","5.4%","433,755","63,435","14.6%","4,007,462","476,638","11.9%","1,938,164","217,077","11.2%","1,049,104","81,645","7.8%","949,384","106,197","11.2%","1,249,055","159,036","12.7%","1,401,734","256,044","18.3%","423,365","40,333","9.5%","2,087,940","195,700","9.4%","2,137,789","85,623","4.0%","2,627,140","272,912","10.4%","1,766,707","124,673","7.1%","853,871","134,829","15.8%","1,889,694","197,964","10.5%","301,021","46,388","15.4%","646,816","66,978","10.4%","838,100","138,572","16.5%","460,071","41,489","9.0%","2,947,777","363,245","12.3%","606,119","121,220","20.0%","6,286,684","768,411","12.2%","2,813,418","393,124","14.0%","245,816","23,200","9.4%","3,473,835","332,039","9.6%","1,180,312","200,404","17.0%","1,072,215","145,718","13.6%","3,968,214","331,367","8.4%","318,027","32,101","10.1%","1,353,632","197,613","14.6%","286,427","30,066","10.5%","1,898,785","232,643","12.3%","8,134,983","1,779,971","21.9%","800,172","107,135","13.4%","205,456","19,575","9.5%","2,769,101","297,963","10.8%","2,034,395","221,149","10.9%","523,043","76,271","14.6%","1,837,583","143,425","7.8%","198,471","24,722","12.5%","787,178","76,154","9.7%"
"    Worked less than full-time, year round in the past 12 months","842,163","248,592","29.5%","174,445","60,229","34.5%","1,164,350","314,968","27.1%","520,074","188,843","36.3%","7,405,105","2,342,762","31.6%","1,085,280","301,394","27.8%","756,156","132,796","17.6%","168,574","30,848","18.3%","113,959","16,170","14.2%","3,404,056","1,253,897","36.8%","1,675,461","615,218","36.7%","250,330","36,850","14.7%","344,934","114,689","33.2%","2,555,272","627,142","24.5%","1,321,245","356,536","27.0%","644,268","118,686","18.4%","562,665","147,157","26.2%","793,860","243,167","30.6%","801,267","278,329","34.7%","294,554","59,819","20.3%","1,049,609","229,832","21.9%","1,458,792","116,967","8.0%","2,082,082","488,787","23.5%","1,196,796","193,254","16.1%","468,497","166,494","35.5%","1,159,601","304,600","26.3%","232,058","65,775","28.3%","372,522","79,814","21.4%","515,895","192,041","37.2%","288,748","60,717","21.0%","1,592,127","353,159","22.2%","364,475","121,201","33.3%","3,558,675","734,717","20.6%","1,851,795","578,861","31.3%","148,646","23,373","15.7%","2,303,643","526,863","22.9%","669,772","243,728","36.4%","877,189","270,724","30.9%","2,528,127","484,226","19.2%","232,098","49,565","21.4%","856,362","275,640","32.2%","162,178","34,526","21.3%","1,189,620","335,919","28.2%","4,312,209","1,759,803","40.8%","565,634","141,886","25.1%","157,661","22,244","14.1%","1,433,582","352,668","24.6%","1,442,544","400,131","27.7%","308,504","91,395","29.6%","1,255,971","211,498","16.8%","117,377","34,334","29.3%","453,942","77,969","17.2%"
"    Did not work","1,334,802","205,922","15.4%","114,093","20,487","18.0%","1,695,361","253,610","15.0%","767,665","122,972","16.0%","9,351,193","1,883,827","20.1%","990,707","148,053","14.9%","787,210","79,552","10.1%","222,218","19,016","8.6%","152,793","12,673","8.3%","5,619,968","1,061,208","18.9%","2,379,948","524,742","22.0%","319,104","31,942","10.0%","344,650","52,276","15.2%","2,988,792","501,671","16.8%","1,529,741","231,635","15.1%","589,751","50,434","8.6%","566,975","76,309","13.5%","1,181,424","183,658","15.5%","1,123,984","194,896","17.3%","322,020","21,978","6.8%","1,200,438","151,031","12.6%","1,466,740","61,445","4.2%","2,722,986","350,582","12.9%","1,007,567","74,167","7.4%","828,554","163,270","19.7%","1,416,839","183,185","12.9%","221,028","29,260","13.2%","323,842","35,127","10.8%","651,229","157,748","24.2%","268,090","29,128","10.9%","2,096,182","311,298","14.9%","544,447","103,246","19.0%","4,987,261","565,793","11.3%","2,414,799","421,152","17.4%","116,041","8,259","7.1%","2,866,040","378,087","13.2%","897,773","156,898","17.5%","984,341","159,311","16.2%","3,231,426","311,403","9.6%","262,648","32,028","12.2%","1,248,364","220,165","17.6%","148,643","17,599","11.8%","1,678,044","250,755","14.9%","5,456,236","1,339,207","24.5%","514,165","78,212","15.2%","127,108","5,434","4.3%","1,755,068","248,119","14.1%","1,578,206","222,695","14.1%","606,551","80,977","13.4%","1,185,690","107,167","9.0%","102,933","13,012","12.6%","1,557,076","104,204","6.7%"
"HOUSEHOLD INCOME (IN 2010 INFLATION ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian household population","4,657,018","680,934","14.6%","674,410","131,125","19.4%","6,260,750","1,056,916","16.9%","2,836,652","496,745","17.5%","36,450,556","6,769,740","18.6%","4,913,531","782,382","15.9%","3,455,108","315,486","9.1%","872,492","84,857","9.7%","563,104","43,900","7.8%","18,382,694","3,903,988","21.2%","9,427,254","1,860,317","19.7%","1,296,654","99,653","7.7%","1,539,760","273,363","17.8%","12,534,609","1,735,208","13.8%","6,299,913","938,133","14.9%","2,950,055","275,400","9.3%","2,766,338","386,652","14.0%","4,210,790","640,302","15.2%","4,403,920","785,140","17.8%","1,289,901","131,921","10.2%","5,623,995","635,190","11.3%","6,314,172","281,800","4.5%","9,644,923","1,194,691","12.4%","5,173,005","473,797","9.2%","2,870,016","522,019","18.2%","5,809,213","767,874","13.2%","959,816","166,624","17.4%","1,774,960","206,935","11.7%","2,659,725","602,227","22.6%","1,275,696","143,707","11.3%","8,608,738","1,141,842","13.3%","2,017,125","394,069","19.5%","18,787,866","2,253,132","12.0%","9,243,037","1,557,430","16.8%","646,610","63,874","9.9%","11,221,854","1,388,791","12.4%","3,636,803","688,001","18.9%","3,749,077","639,010","17.0%","12,276,999","1,261,759","10.3%","1,007,568","124,966","12.4%","4,480,934","789,767","17.6%","779,485","95,949","12.3%","6,191,989","888,574","14.4%","24,608,963","5,843,597","23.7%","2,726,363","417,691","15.3%","600,128","48,925","8.2%","7,706,550","1,011,630","13.1%","6,568,935","937,415","14.3%","1,802,385","262,765","14.6%","5,537,483","524,909","9.5%","548,502","81,715","14.9%","3,682,416","295,357","8.0%"
