"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Birthplace"	"Birthplace Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"In Hospital"	"1"	237122
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Freestanding Birth Center"	"2"	1263
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	246
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Residence"	"4"	4931
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Other"	"5"	340
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	12
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"In Hospital"	"1"	739558
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Freestanding Birth Center"	"2"	2827
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	15
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Residence"	"4"	4132
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Other"	"5"	481
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	18
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"In Hospital"	"1"	732533
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Freestanding Birth Center"	"2"	3221
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	17
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Residence"	"4"	4452
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Other"	"5"	371
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	25
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"In Hospital"	"1"	728872
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Freestanding Birth Center"	"2"	3712
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	16
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Residence"	"4"	4551
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Other"	"5"	384
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	24
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"In Hospital"	"1"	726087
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Freestanding Birth Center"	"2"	3808
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	14
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Residence"	"4"	4710
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Other"	"5"	349
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Unknown or Not Stated"	"9"	28
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"In Hospital"	"1"	738251
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Freestanding Birth Center"	"2"	3843
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	20
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Residence"	"4"	5001
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Other"	"5"	383
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Unknown or Not Stated"	"9"	44
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"In Hospital"	"1"	742427
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Freestanding Birth Center"	"2"	3991
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	18
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Residence"	"4"	5241
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Other"	"5"	381
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Unknown or Not Stated"	"9"	65
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"In Hospital"	"1"	738612
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Freestanding Birth Center"	"2"	4151
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	19
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Residence"	"4"	5457
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Other"	"5"	409
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Unknown or Not Stated"	"9"	62
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"In Hospital"	"1"	730440
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Freestanding Birth Center"	"2"	4712
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	14
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Residence"	"4"	5547
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Other"	"5"	364
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Unknown or Not Stated"	"9"	72
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"In Hospital"	"1"	721746
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Freestanding Birth Center"	"2"	4494
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	21
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Residence"	"4"	5628
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Other"	"5"	391
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Unknown or Not Stated"	"9"	61
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"In Hospital"	"1"	717101
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Freestanding Birth Center"	"2"	4356
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	20
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Residence"	"4"	5621
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Other"	"5"	367
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Unknown or Not Stated"	"9"	55
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"In Hospital"	"1"	693070
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Freestanding Birth Center"	"2"	3903
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	35
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Residence"	"4"	6968
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Other"	"5"	440
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Unknown or Not Stated"	"9"	54
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"In Hospital"	"1"	705461
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Freestanding Birth Center"	"2"	4027
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	93
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Residence"	"4"	8223
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Other"	"5"	570
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Unknown or Not Stated"	"9"	60
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"In Hospital"	"1"	716562
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Freestanding Birth Center"	"2"	3905
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	23
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Residence"	"4"	8988
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Other"	"5"	641
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Unknown or Not Stated"	"9"	58
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"In Hospital"	"1"	704205
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Freestanding Birth Center"	"2"	3667
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	43
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Residence"	"4"	8894
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Other"	"5"	626
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Unknown or Not Stated"	"9"	78
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"In Hospital"	"1"	233562
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Freestanding Birth Center"	"2"	319
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	28
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Residence"	"4"	1361
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Other"	"5"	91
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"In Hospital"	"1"	232223
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Freestanding Birth Center"	"2"	387
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	17
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Residence"	"4"	1444
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Other"	"5"	99
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"In Hospital"	"1"	231140
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Freestanding Birth Center"	"2"	348
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	25
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Residence"	"4"	1607
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Other"	"5"	125
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"In Hospital"	"1"	230369
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Freestanding Birth Center"	"2"	298
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	37
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Residence"	"4"	1652
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Other"	"5"	121
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"In Hospital"	"1"	233609
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Freestanding Birth Center"	"2"	304
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	39
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Residence"	"4"	1822
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Other"	"5"	151
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"In Hospital"	"1"	233287
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Freestanding Birth Center"	"2"	344
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	34
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Residence"	"4"	1858
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Other"	"5"	173
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Unknown or Not Stated"	"9"	11
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"In Hospital"	"1"	230741
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Freestanding Birth Center"	"2"	457
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	19
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Residence"	"4"	1867
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Other"	"5"	213
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Unknown or Not Stated"	"9"	38
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"In Hospital"	"1"	229795
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Freestanding Birth Center"	"2"	254
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	21
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Residence"	"4"	1787
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Other"	"5"	180
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Unknown or Not Stated"	"9"	29
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"In Hospital"	"1"	226804
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Freestanding Birth Center"	"2"	339
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	21
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Residence"	"4"	2019
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Other"	"5"	215
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Unknown or Not Stated"	"9"	36
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"In Hospital"	"1"	226096
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Freestanding Birth Center"	"2"	413
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Residence"	"4"	2048
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Other"	"5"	201
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"In Hospital"	"1"	220289
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Freestanding Birth Center"	"2"	441
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	28
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Residence"	"4"	2453
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Other"	"5"	265
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"In Hospital"	"1"	223354
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Freestanding Birth Center"	"2"	455
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	31
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Residence"	"4"	2965
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Other"	"5"	333
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"In Hospital"	"1"	223310
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Freestanding Birth Center"	"2"	537
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	33
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Residence"	"4"	3202
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Other"	"5"	313
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"In Hospital"	"1"	222843
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Freestanding Birth Center"	"2"	510
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	12
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Residence"	"4"	3653
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Other"	"5"	300
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"In Hospital"	"1"	535680
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Freestanding Birth Center"	"2"	1878
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Residence"	"4"	2571
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Other"	"5"	133
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"In Hospital"	"1"	525428
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Freestanding Birth Center"	"2"	2084
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Residence"	"4"	2688
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Other"	"5"	117
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"In Hospital"	"1"	530936
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Freestanding Birth Center"	"2"	2418
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Residence"	"4"	2957
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Other"	"5"	150
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"In Hospital"	"1"	535896
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Freestanding Birth Center"	"2"	2735
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Residence"	"4"	2967
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Other"	"5"	138
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"In Hospital"	"1"	549161
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Freestanding Birth Center"	"2"	3276
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Residence"	"4"	3499
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Other"	"5"	167
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"In Hospital"	"1"	553339
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Freestanding Birth Center"	"2"	3388
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Residence"	"4"	3414
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Other"	"5"	174
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"In Hospital"	"1"	544979
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Freestanding Birth Center"	"2"	3454
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Residence"	"4"	3424
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Other"	"5"	225
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"In Hospital"	"1"	523828
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Freestanding Birth Center"	"2"	3367
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Residence"	"4"	3386
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Other"	"5"	214
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"In Hospital"	"1"	518159
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Freestanding Birth Center"	"2"	3283
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Residence"	"4"	3434
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Other"	"5"	152
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Unknown or Not Stated"	"9"	22
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"In Hospital"	"1"	515416
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Freestanding Birth Center"	"2"	3044
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Residence"	"4"	3602
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Other"	"5"	171
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"In Hospital"	"1"	500336
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Freestanding Birth Center"	"2"	3704
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Residence"	"4"	4148
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Other"	"5"	186
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"In Hospital"	"1"	506058
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Freestanding Birth Center"	"2"	4132
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Residence"	"4"	4995
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Other"	"5"	213
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"In Hospital"	"1"	519992
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Freestanding Birth Center"	"2"	4456
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Residence"	"4"	5329
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Other"	"5"	234
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"In Hospital"	"1"	515795
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Freestanding Birth Center"	"2"	4439
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Residence"	"4"	5506
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Other"	"5"	298
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"In Hospital"	"1"	306877
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Freestanding Birth Center"	"2"	1684
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	19
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Residence"	"4"	3972
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Other"	"5"	129
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"In Hospital"	"1"	300185
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Freestanding Birth Center"	"2"	1899
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	15
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Residence"	"4"	3957
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Other"	"5"	112
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Unknown or Not Stated"	"9"	11
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"In Hospital"	"1"	301232
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Freestanding Birth Center"	"2"	1897
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	32
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Residence"	"4"	4428
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Other"	"5"	129
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"In Hospital"	"1"	298776
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Freestanding Birth Center"	"2"	1892
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	18
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Residence"	"4"	4519
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Other"	"5"	141
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"In Hospital"	"1"	301969
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"Freestanding Birth Center"	"2"	1999
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"Residence"	"4"	4627
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"Other"	"5"	181
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"In Hospital"	"1"	301165
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Freestanding Birth Center"	"2"	2056
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	20
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Residence"	"4"	4559
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Other"	"5"	194
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"In Hospital"	"1"	297621
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Freestanding Birth Center"	"2"	2297
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	44
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Residence"	"4"	4528
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Other"	"5"	195
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Unknown or Not Stated"	"9"	14
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"In Hospital"	"1"	288251
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Freestanding Birth Center"	"2"	2282
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	32
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Residence"	"4"	4496
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Other"	"5"	179
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"In Hospital"	"1"	282055
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Freestanding Birth Center"	"2"	2390
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	42
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Residence"	"4"	4358
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Other"	"5"	164
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"In Hospital"	"1"	279320
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Freestanding Birth Center"	"2"	2818
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	21
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Residence"	"4"	4491
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Other"	"5"	144
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Unknown or Not Stated"	"9"	15
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"In Hospital"	"1"	269644
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Freestanding Birth Center"	"2"	3046
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	30
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Residence"	"4"	5246
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Other"	"5"	132
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Unknown or Not Stated"	"9"	53
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"In Hospital"	"1"	272938
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Freestanding Birth Center"	"2"	3378
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	30
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Residence"	"4"	5983
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Other"	"5"	172
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Unknown or Not Stated"	"9"	48
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"In Hospital"	"1"	271391
