"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Single Race"	"Mother's Single Race Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Black or African American"	"2054-5"	75463
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	726
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"White"	"2106-3"	307220
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"More than one race"	"M"	8913
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or Not Stated"	"UNK"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Not Available"	"NA"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"			431564
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"					6537809
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Asian"	"A"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Black or African American"	"2054-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"White"	"2106-3"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"More than one race"	"M"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Available"	"NA"	571286
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"			571286
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Asian"	"A"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Black or African American"	"2054-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"White"	"2106-3"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"More than one race"	"M"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Available"	"NA"	564749
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"			564749
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Asian"	"A"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Black or African American"	"2054-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"White"	"2106-3"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"More than one race"	"M"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Available"	"NA"	561256
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"			561256
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Asian"	"A"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Black or African American"	"2054-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"White"	"2106-3"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"More than one race"	"M"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Available"	"NA"	559107
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"			559107
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Asian"	"A"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Black or African American"	"2054-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"White"	"2106-3"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"More than one race"	"M"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Available"	"NA"	563639
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"			563639
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Asian"	"A"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Black or African American"	"2054-5"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"White"	"2106-3"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"More than one race"	"M"	Missing Race
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Available"	"NA"	561773
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"			561773
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	1707
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Asian"	"A"	25172
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Black or African American"	"2054-5"	88905
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	276
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"White"	"2106-3"	428292
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"More than one race"	"M"	11199
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"			555551
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	1674
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Asian"	"A"	24839
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Black or African American"	"2054-5"	89541
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	297
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"White"	"2106-3"	416851
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"More than one race"	"M"	11591
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"			544793
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	1691
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Asian"	"A"	24135
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Black or African American"	"2054-5"	86857
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	324
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"White"	"2106-3"	411071
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"More than one race"	"M"	11647
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"			535725
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	1605
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Asian"	"A"	23492
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Black or African American"	"2054-5"	86132
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	364
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"White"	"2106-3"	402872
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"More than one race"	"M"	12139
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"			526604
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"American Indian or Alaska Native"	"1002-5"	1571
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Asian"	"A"	22405
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Black or African American"	"2054-5"	82310
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	390
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"White"	"2106-3"	387087
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"More than one race"	"M"	12010
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"			505773
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"American Indian or Alaska Native"	"1002-5"	1664
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Asian"	"A"	21693
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Black or African American"	"2054-5"	79034
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	483
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"White"	"2106-3"	393279
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"More than one race"	"M"	12534
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"			508687
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"American Indian or Alaska Native"	"1002-5"	1524
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Asian"	"A"	21813
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Black or African American"	"2054-5"	75911
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	503
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"White"	"2106-3"	386262
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"More than one race"	"M"	12587
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"			498600
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"American Indian or Alaska Native"	"1002-5"	1466
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Asian"	"A"	22010
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Black or African American"	"2054-5"	73602
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	507
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"White"	"2106-3"	378874
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"More than one race"	"M"	13135
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"UNK"	0
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Not Available"	"NA"	0
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"			489594
"Total"	"Division 3: East North Central"	"CENS-D3"					7547137
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Asian"	"A"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Black or African American"	"2054-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"White"	"2106-3"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"More than one race"	"M"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Not Available"	"NA"	271570
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"			271570
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Asian"	"A"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Black or African American"	"2054-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"White"	"2106-3"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"More than one race"	"M"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Not Available"	"NA"	269475
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"			269475
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Asian"	"A"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Black or African American"	"2054-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"White"	"2106-3"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"More than one race"	"M"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Not Available"	"NA"	271413
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"			271413
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Asian"	"A"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Black or African American"	"2054-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"White"	"2106-3"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"More than one race"	"M"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Not Available"	"NA"	271330
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"			271330
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Asian"	"A"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Black or African American"	"2054-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"White"	"2106-3"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"More than one race"	"M"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Not Available"	"NA"	274610
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"			274610
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Asian"	"A"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Black or African American"	"2054-5"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"White"	"2106-3"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"More than one race"	"M"	Missing Race
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Not Available"	"NA"	273860
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"			273860
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	5092
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Asian"	"A"	11854
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Black or African American"	"2054-5"	27598
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	583
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"White"	"2106-3"	220135
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"More than one race"	"M"	6895
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"			272157
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	5116
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Asian"	"A"	11649
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Black or African American"	"2054-5"	28383
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	625
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"White"	"2106-3"	212406
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"More than one race"	"M"	7091
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"			265270
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	4956
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Asian"	"A"	11060
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Black or African American"	"2054-5"	28038
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	712
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"White"	"2106-3"	210525
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"More than one race"	"M"	7385
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"			262676
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	4825
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Asian"	"A"	10968
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Black or African American"	"2054-5"	28027
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	744
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"White"	"2106-3"	205924
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"More than one race"	"M"	7368
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"			257856
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"American Indian or Alaska Native"	"1002-5"	4609
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Asian"	"A"	10474
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Black or African American"	"2054-5"	27269
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	897
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"White"	"2106-3"	197691
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"More than one race"	"M"	7588
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"			248528
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"American Indian or Alaska Native"	"1002-5"	4393
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Asian"	"A"	10126
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Black or African American"	"2054-5"	25873
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	936
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"White"	"2106-3"	202528
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"More than one race"	"M"	7652
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"			251508
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"American Indian or Alaska Native"	"1002-5"	4346
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Asian"	"A"	10219
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Black or African American"	"2054-5"	25735
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1043
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"White"	"2106-3"	200037
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"More than one race"	"M"	7640
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Not Available"	"NA"	0
