"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Cesarean"	"2"	82602
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Unknown or Not Stated"	"9"	447
"Total"	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"			232479
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Vaginal"	"1"	153090
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Cesarean"	"2"	82798
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Unknown or Not Stated"	"9"	42
"Total"	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"			235930
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Vaginal"	"1"	153708
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Cesarean"	"2"	81938
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Unknown or Not Stated"	"9"	61
"Total"	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"			235707
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Vaginal"	"1"	152905
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Cesarean"	"2"	80262
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Unknown or Not Stated"	"9"	168
"Total"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"			233335
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Vaginal"	"1"	151688
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Cesarean"	"2"	80289
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Unknown or Not Stated"	"9"	89
"Total"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"			232066
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Vaginal"	"1"	150467
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Cesarean"	"2"	78898
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Unknown or Not Stated"	"9"	69
"Total"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"			229434
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Vaginal"	"1"	150911
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Cesarean"	"2"	77787
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Unknown or Not Stated"	"9"	72
"Total"	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"			228770
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Vaginal"	"1"	146771
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Cesarean"	"2"	76676
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Unknown or Not Stated"	"9"	30
"Total"	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"			223477
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Vaginal"	"1"	148584
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Cesarean"	"2"	78525
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Unknown or Not Stated"	"9"	32
"Total"	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"			227141
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Vaginal"	"1"	149560
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Cesarean"	"2"	77780
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Unknown or Not Stated"	"9"	64
"Total"	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"			227404
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Vaginal"	"1"	149832
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Cesarean"	"2"	77455
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Unknown or Not Stated"	"9"	35
"Total"	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"			227322
"Total"	"Division 6: East South Central"	"CENS-D6"					3235848
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Vaginal"	"1"	347635
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Cesarean"	"2"	192195
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Unknown or Not Stated"	"9"	445
"Total"	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"			540275
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Vaginal"	"1"	340977
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Cesarean"	"2"	189049
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Unknown or Not Stated"	"9"	294
"Total"	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"			530320
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Vaginal"	"1"	344634
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Cesarean"	"2"	191554
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Unknown or Not Stated"	"9"	279
"Total"	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"			536467
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Vaginal"	"1"	349565
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Cesarean"	"2"	191946
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Unknown or Not Stated"	"9"	231
"Total"	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"			541742
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Vaginal"	"1"	361976
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Cesarean"	"2"	194101
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Unknown or Not Stated"	"9"	36
"Total"	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"			556113
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Vaginal"	"1"	367346
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Cesarean"	"2"	192864
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Unknown or Not Stated"	"9"	108
"Total"	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"			560318
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Vaginal"	"1"	361837
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Cesarean"	"2"	189833
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Unknown or Not Stated"	"9"	421
"Total"	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"			552091
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Vaginal"	"1"	345367
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Cesarean"	"2"	185153
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Unknown or Not Stated"	"9"	282
"Total"	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"			530802
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Vaginal"	"1"	341118
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Cesarean"	"2"	183886
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Unknown or Not Stated"	"9"	53
"Total"	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"			525057
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Vaginal"	"1"	340740
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Cesarean"	"2"	181181
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Unknown or Not Stated"	"9"	326
"Total"	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"			522247
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Vaginal"	"1"	332160
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Cesarean"	"2"	175891
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Unknown or Not Stated"	"9"	341
"Total"	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"			508392
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Vaginal"	"1"	335726
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Cesarean"	"2"	179406
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Unknown or Not Stated"	"9"	274
"Total"	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"			515406
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Vaginal"	"1"	347136
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Cesarean"	"2"	182646
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Unknown or Not Stated"	"9"	241
"Total"	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"			530023
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Vaginal"	"1"	344405
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Cesarean"	"2"	181482
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Unknown or Not Stated"	"9"	158
"Total"	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"			526045
"Total"	"Division 7: West South Central"	"CENS-D7"					7475298
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Vaginal"	"1"	228900
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Cesarean"	"2"	83249
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Unknown or Not Stated"	"9"	539
"Total"	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"			312688
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Vaginal"	"1"	224962
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Cesarean"	"2"	80751
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Unknown or Not Stated"	"9"	466
"Total"	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"			306179
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Vaginal"	"1"	224919
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Cesarean"	"2"	82322
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Unknown or Not Stated"	"9"	484
"Total"	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"			307725
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Vaginal"	"1"	223138
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Cesarean"	"2"	81743
	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"	"Unknown or Not Stated"	"9"	471
"Total"	"Division 8: Mountain"	"CENS-D8"	"2013"	"2013"			305352
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"Vaginal"	"1"	226279
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"Cesarean"	"2"	82495
	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"	"Unknown or Not Stated"	"9"	14
"Total"	"Division 8: Mountain"	"CENS-D8"	"2014"	"2014"			308788
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Vaginal"	"1"	225412
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Cesarean"	"2"	82576
	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"	"Unknown or Not Stated"	"9"	11
"Total"	"Division 8: Mountain"	"CENS-D8"	"2015"	"2015"			307999
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Vaginal"	"1"	223390
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Cesarean"	"2"	81282
	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"	"Unknown or Not Stated"	"9"	27
"Total"	"Division 8: Mountain"	"CENS-D8"	"2016"	"2016"			304699
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Vaginal"	"1"	216591
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Cesarean"	"2"	78606
	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"	"Unknown or Not Stated"	"9"	48
"Total"	"Division 8: Mountain"	"CENS-D8"	"2017"	"2017"			295245
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Vaginal"	"1"	211623
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Cesarean"	"2"	77371
	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Unknown or Not Stated"	"9"	22
"Total"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"			289016
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Vaginal"	"1"	209401
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Cesarean"	"2"	77387
	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"	"Unknown or Not Stated"	"9"	21
"Total"	"Division 8: Mountain"	"CENS-D8"	"2019"	"2019"			286809
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Vaginal"	"1"	202539
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Cesarean"	"2"	75582
	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"	"Unknown or Not Stated"	"9"	30
"Total"	"Division 8: Mountain"	"CENS-D8"	"2020"	"2020"			278151
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Vaginal"	"1"	204908
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Cesarean"	"2"	77615
	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"	"Unknown or Not Stated"	"9"	26
"Total"	"Division 8: Mountain"	"CENS-D8"	"2021"	"2021"			282549
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Vaginal"	"1"	203311
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Cesarean"	"2"	77763
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Unknown or Not Stated"	"9"	46
"Total"	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"			281120
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Vaginal"	"1"	199642
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Cesarean"	"2"	77127
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Unknown or Not Stated"	"9"	50
"Total"	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"			276819
"Total"	"Division 8: Mountain"	"CENS-D8"					4143139
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Vaginal"	"1"	457123
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Cesarean"	"2"	214929
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Unknown or Not Stated"	"9"	684
"Total"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"			672736
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Vaginal"	"1"	451726
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Cesarean"	"2"	211988
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Unknown or Not Stated"	"9"	949
"Total"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"			664663
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Vaginal"	"1"	453364
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Cesarean"	"2"	212745
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Unknown or Not Stated"	"9"	343
"Total"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"			666452
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Vaginal"	"1"	447706
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Cesarean"	"2"	209001
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Unknown or Not Stated"	"9"	163
"Total"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"			656870
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Vaginal"	"1"	458195
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Cesarean"	"2"	208699
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Unknown or Not Stated"	"9"	68
"Total"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"			666962
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Vaginal"	"1"	453254
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Cesarean"	"2"	202812
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Unknown or Not Stated"	"9"	29
"Total"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"			656095
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Vaginal"	"1"	453740
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Cesarean"	"2"	200264
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Unknown or Not Stated"	"9"	131
"Total"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"			654135
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Vaginal"	"1"	439252
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Cesarean"	"2"	191400
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Unknown or Not Stated"	"9"	161
"Total"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"			630813
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Vaginal"	"1"	427044
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Cesarean"	"2"	183089
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Unknown or Not Stated"	"9"	118
"Total"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"			610251
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Vaginal"	"1"	420425
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Cesarean"	"2"	179248
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Unknown or Not Stated"	"9"	178
"Total"	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"			599851
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Vaginal"	"1"	398596
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Cesarean"	"2"	169629
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Unknown or Not Stated"	"9"	194
"Total"	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"			568419
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Vaginal"	"1"	397948
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Cesarean"	"2"	172202
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Unknown or Not Stated"	"9"	270
"Total"	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"			570420
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Vaginal"	"1"	393871
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Cesarean"	"2"	172444
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Unknown or Not Stated"	"9"	509
"Total"	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"			566824
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Vaginal"	"1"	375277
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Cesarean"	"2"	167600
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Unknown or Not Stated"	"9"	284
"Total"	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"			543161
"Total"	"Division 9: Pacific"	"CENS-D9"					8727652
"Total"							53686912
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"Year: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023"
"Group By: Census Division; Year; Delivery Method"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 20, 2025 4:54:01 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Mar 20, 2025 4:54:01 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
