"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Missouri"	"29"	"2011"	"2011"	"Yes"	"1"	1234
	"Missouri"	"29"	"2011"	"2011"	"No"	"2"	74883
	"Missouri"	"29"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Missouri"	"29"	"2012"	"2012"	"Yes"	"1"	1417
	"Missouri"	"29"	"2012"	"2012"	"No"	"2"	74028
	"Missouri"	"29"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2013"	"2013"	"Yes"	"1"	1414
	"Missouri"	"29"	"2013"	"2013"	"No"	"2"	73881
	"Missouri"	"29"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2014"	"2014"	"Yes"	"1"	1388
	"Missouri"	"29"	"2014"	"2014"	"No"	"2"	73971
	"Missouri"	"29"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2015"	"2015"	"Yes"	"1"	1580
	"Missouri"	"29"	"2015"	"2015"	"No"	"2"	73480
	"Missouri"	"29"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2016"	"2016"	"Yes"	"1"	1706
	"Missouri"	"29"	"2016"	"2016"	"No"	"2"	72998
	"Missouri"	"29"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2017"	"2017"	"Yes"	"1"	1960
	"Missouri"	"29"	"2017"	"2017"	"No"	"2"	71074
	"Missouri"	"29"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Missouri"	"29"	"2018"	"2018"	"Yes"	"1"	2045
	"Missouri"	"29"	"2018"	"2018"	"No"	"2"	71224
	"Missouri"	"29"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Missouri"	"29"	"2019"	"2019"	"Yes"	"1"	2264
	"Missouri"	"29"	"2019"	"2019"	"No"	"2"	69860
	"Missouri"	"29"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2020"	"2020"	"Yes"	"1"	2383
	"Missouri"	"29"	"2020"	"2020"	"No"	"2"	66900
	"Missouri"	"29"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2021"	"2021"	"Yes"	"1"	2576
	"Missouri"	"29"	"2021"	"2021"	"No"	"2"	66875
	"Missouri"	"29"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2022"	"2022"	"Yes"	"1"	2656
	"Missouri"	"29"	"2022"	"2022"	"No"	"2"	66328
	"Missouri"	"29"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Missouri"	"29"	"2023"	"2023"	"Yes"	"1"	2743
	"Missouri"	"29"	"2023"	"2023"	"No"	"2"	64376
	"Missouri"	"29"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2010"	"2010"	"Yes"	"1"	1459
	"New Jersey"	"34"	"2010"	"2010"	"No"	"2"	105121
	"New Jersey"	"34"	"2010"	"2010"	"Unknown or Not Stated"	"9"	342
	"New Jersey"	"34"	"2011"	"2011"	"Yes"	"1"	1535
	"New Jersey"	"34"	"2011"	"2011"	"No"	"2"	104034
	"New Jersey"	"34"	"2011"	"2011"	"Unknown or Not Stated"	"9"	314
	"New Jersey"	"34"	"2012"	"2012"	"Yes"	"1"	1484
	"New Jersey"	"34"	"2012"	"2012"	"No"	"2"	102485
	"New Jersey"	"34"	"2012"	"2012"	"Unknown or Not Stated"	"9"	261
	"New Jersey"	"34"	"2013"	"2013"	"Yes"	"1"	1511
	"New Jersey"	"34"	"2013"	"2013"	"No"	"2"	100890
	"New Jersey"	"34"	"2013"	"2013"	"Unknown or Not Stated"	"9"	174
	"New Jersey"	"34"	"2014"	"2014"	"Yes"	"1"	1625
	"New Jersey"	"34"	"2014"	"2014"	"No"	"2"	101489
	"New Jersey"	"34"	"2014"	"2014"	"Unknown or Not Stated"	"9"	191
	"New Jersey"	"34"	"2015"	"2015"	"Yes"	"1"	1705
	"New Jersey"	"34"	"2015"	"2015"	"No"	"2"	101360
	"New Jersey"	"34"	"2015"	"2015"	"Unknown or Not Stated"	"9"	62
	"New Jersey"	"34"	"2016"	"2016"	"Yes"	"1"	1769
	"New Jersey"	"34"	"2016"	"2016"	"No"	"2"	100871
	"New Jersey"	"34"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2017"	"2017"	"Yes"	"1"	1752
	"New Jersey"	"34"	"2017"	"2017"	"No"	"2"	99491
	"New Jersey"	"34"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2018"	"2018"	"Yes"	"1"	2042
	"New Jersey"	"34"	"2018"	"2018"	"No"	"2"	99174
	"New Jersey"	"34"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2019"	"2019"	"Yes"	"1"	2110
	"New Jersey"	"34"	"2019"	"2019"	"No"	"2"	97469
	"New Jersey"	"34"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2020"	"2020"	"Yes"	"1"	2263
	"New Jersey"	"34"	"2020"	"2020"	"No"	"2"	95683
	"New Jersey"	"34"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2021"	"2021"	"Yes"	"1"	2537
	"New Jersey"	"34"	"2021"	"2021"	"No"	"2"	98951
	"New Jersey"	"34"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"New Jersey"	"34"	"2022"	"2022"	"Yes"	"1"	2534
	"New Jersey"	"34"	"2022"	"2022"	"No"	"2"	100349
	"New Jersey"	"34"	"2022"	"2022"	"Unknown or Not Stated"	"9"	10
	"New Jersey"	"34"	"2023"	"2023"	"Yes"	"1"	2593
	"New Jersey"	"34"	"2023"	"2023"	"No"	"2"	98398
	"New Jersey"	"34"	"2023"	"2023"	"Unknown or Not Stated"	"9"	10
	"New York"	"36"	"2010"	"2010"	"Yes"	"1"	3293
	"New York"	"36"	"2010"	"2010"	"No"	"2"	239813
	"New York"	"36"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1269
	"New York"	"36"	"2011"	"2011"	"Yes"	"1"	3399
	"New York"	"36"	"2011"	"2011"	"No"	"2"	237475
	"New York"	"36"	"2011"	"2011"	"Unknown or Not Stated"	"9"	438
	"New York"	"36"	"2012"	"2012"	"Yes"	"1"	3474
	"New York"	"36"	"2012"	"2012"	"No"	"2"	236940
	"New York"	"36"	"2012"	"2012"	"Unknown or Not Stated"	"9"	502
	"New York"	"36"	"2013"	"2013"	"Yes"	"1"	3477
	"New York"	"36"	"2013"	"2013"	"No"	"2"	233010
	"New York"	"36"	"2013"	"2013"	"Unknown or Not Stated"	"9"	493
	"New York"	"36"	"2014"	"2014"	"Yes"	"1"	3834
	"New York"	"36"	"2014"	"2014"	"No"	"2"	234113
	"New York"	"36"	"2014"	"2014"	"Unknown or Not Stated"	"9"	826
	"New York"	"36"	"2015"	"2015"	"Yes"	"1"	3942
	"New York"	"36"	"2015"	"2015"	"No"	"2"	232863
	"New York"	"36"	"2015"	"2015"	"Unknown or Not Stated"	"9"	469
	"New York"	"36"	"2016"	"2016"	"Yes"	"1"	4371
	"New York"	"36"	"2016"	"2016"	"No"	"2"	229694
	"New York"	"36"	"2016"	"2016"	"Unknown or Not Stated"	"9"	218
	"New York"	"36"	"2017"	"2017"	"Yes"	"1"	4452
	"New York"	"36"	"2017"	"2017"	"No"	"2"	224879
	"New York"	"36"	"2017"	"2017"	"Unknown or Not Stated"	"9"	406
	"New York"	"36"	"2018"	"2018"	"Yes"	"1"	4646
	"New York"	"36"	"2018"	"2018"	"No"	"2"	221098
	"New York"	"36"	"2018"	"2018"	"Unknown or Not Stated"	"9"	494
	"New York"	"36"	"2019"	"2019"	"Yes"	"1"	4864
	"New York"	"36"	"2019"	"2019"	"No"	"2"	216191
	"New York"	"36"	"2019"	"2019"	"Unknown or Not Stated"	"9"	484
	"New York"	"36"	"2020"	"2020"	"Yes"	"1"	5146
	"New York"	"36"	"2020"	"2020"	"No"	"2"	203794
	"New York"	"36"	"2020"	"2020"	"Unknown or Not Stated"	"9"	398
	"New York"	"36"	"2021"	"2021"	"Yes"	"1"	5576
	"New York"	"36"	"2021"	"2021"	"No"	"2"	204715
	"New York"	"36"	"2021"	"2021"	"Unknown or Not Stated"	"9"	451
	"New York"	"36"	"2022"	"2022"	"Yes"	"1"	5965
	"New York"	"36"	"2022"	"2022"	"No"	"2"	201253
	"New York"	"36"	"2022"	"2022"	"Unknown or Not Stated"	"9"	556
	"New York"	"36"	"2023"	"2023"	"Yes"	"1"	6034
	"New York"	"36"	"2023"	"2023"	"No"	"2"	197149
	"New York"	"36"	"2023"	"2023"	"Unknown or Not Stated"	"9"	429
	"North Carolina"	"37"	"2010"	"2010"	"Yes"	"1"	2234
	"North Carolina"	"37"	"2010"	"2010"	"No"	"2"	120097
	"North Carolina"	"37"	"2010"	"2010"	"Unknown or Not Stated"	"9"	19
	"North Carolina"	"37"	"2011"	"2011"	"Yes"	"1"	2308
	"North Carolina"	"37"	"2011"	"2011"	"No"	"2"	118058
	"North Carolina"	"37"	"2011"	"2011"	"Unknown or Not Stated"	"9"	23
	"North Carolina"	"37"	"2012"	"2012"	"Yes"	"1"	2344
	"North Carolina"	"37"	"2012"	"2012"	"No"	"2"	117454
	"North Carolina"	"37"	"2012"	"2012"	"Unknown or Not Stated"	"9"	33
	"North Carolina"	"37"	"2013"	"2013"	"Yes"	"1"	2337
	"North Carolina"	"37"	"2013"	"2013"	"No"	"2"	116650
	"North Carolina"	"37"	"2013"	"2013"	"Unknown or Not Stated"	"9"	15
	"North Carolina"	"37"	"2014"	"2014"	"Yes"	"1"	2259
	"North Carolina"	"37"	"2014"	"2014"	"No"	"2"	118698
	"North Carolina"	"37"	"2014"	"2014"	"Unknown or Not Stated"	"9"	18
	"North Carolina"	"37"	"2015"	"2015"	"Yes"	"1"	2298
	"North Carolina"	"37"	"2015"	"2015"	"No"	"2"	118537
	"North Carolina"	"37"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"North Carolina"	"37"	"2016"	"2016"	"Yes"	"1"	2635
	"North Carolina"	"37"	"2016"	"2016"	"No"	"2"	118128
	"North Carolina"	"37"	"2016"	"2016"	"Unknown or Not Stated"	"9"	16
	"North Carolina"	"37"	"2017"	"2017"	"Yes"	"1"	2854
	"North Carolina"	"37"	"2017"	"2017"	"No"	"2"	117261
	"North Carolina"	"37"	"2017"	"2017"	"Unknown or Not Stated"	"9"	10
	"North Carolina"	"37"	"2018"	"2018"	"Yes"	"1"	3154
	"North Carolina"	"37"	"2018"	"2018"	"No"	"2"	115780
	"North Carolina"	"37"	"2018"	"2018"	"Unknown or Not Stated"	"9"	20
	"North Carolina"	"37"	"2019"	"2019"	"Yes"	"1"	3326
	"North Carolina"	"37"	"2019"	"2019"	"No"	"2"	115393
	"North Carolina"	"37"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"North Carolina"	"37"	"2020"	"2020"	"Yes"	"1"	3611
	"North Carolina"	"37"	"2020"	"2020"	"No"	"2"	113110
	"North Carolina"	"37"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"North Carolina"	"37"	"2021"	"2021"	"Yes"	"1"	4086
	"North Carolina"	"37"	"2021"	"2021"	"No"	"2"	116357
	"North Carolina"	"37"	"2021"	"2021"	"Unknown or Not Stated"	"9"	23
	"North Carolina"	"37"	"2022"	"2022"	"Yes"	"1"	4274
	"North Carolina"	"37"	"2022"	"2022"	"No"	"2"	117267
	"North Carolina"	"37"	"2022"	"2022"	"Unknown or Not Stated"	"9"	21
	"North Carolina"	"37"	"2023"	"2023"	"Yes"	"1"	4544
	"North Carolina"	"37"	"2023"	"2023"	"No"	"2"	115508
	"North Carolina"	"37"	"2023"	"2023"	"Unknown or Not Stated"	"9"	30
	"Ohio"	"39"	"2010"	"2010"	"Yes"	"1"	2777
	"Ohio"	"39"	"2010"	"2010"	"No"	"2"	134040
	"Ohio"	"39"	"2010"	"2010"	"Unknown or Not Stated"	"9"	2311
	"Ohio"	"39"	"2011"	"2011"	"Yes"	"1"	2930
	"Ohio"	"39"	"2011"	"2011"	"No"	"2"	132350
	"Ohio"	"39"	"2011"	"2011"	"Unknown or Not Stated"	"9"	2638
	"Ohio"	"39"	"2012"	"2012"	"Yes"	"1"	2911
	"Ohio"	"39"	"2012"	"2012"	"No"	"2"	133577
	"Ohio"	"39"	"2012"	"2012"	"Unknown or Not Stated"	"9"	1995
	"Ohio"	"39"	"2013"	"2013"	"Yes"	"1"	3283
	"Ohio"	"39"	"2013"	"2013"	"No"	"2"	134373
	"Ohio"	"39"	"2013"	"2013"	"Unknown or Not Stated"	"9"	1280
	"Ohio"	"39"	"2014"	"2014"	"Yes"	"1"	3618
	"Ohio"	"39"	"2014"	"2014"	"No"	"2"	135760
	"Ohio"	"39"	"2014"	"2014"	"Unknown or Not Stated"	"9"	89
	"Ohio"	"39"	"2015"	"2015"	"Yes"	"1"	3805
	"Ohio"	"39"	"2015"	"2015"	"No"	"2"	135451
	"Ohio"	"39"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Ohio"	"39"	"2016"	"2016"	"Yes"	"1"	4195
	"Ohio"	"39"	"2016"	"2016"	"No"	"2"	133863
	"Ohio"	"39"	"2016"	"2016"	"Unknown or Not Stated"	"9"	27
	"Ohio"	"39"	"2017"	"2017"	"Yes"	"1"	4317
	"Ohio"	"39"	"2017"	"2017"	"No"	"2"	132501
	"Ohio"	"39"	"2017"	"2017"	"Unknown or Not Stated"	"9"	14
	"Ohio"	"39"	"2018"	"2018"	"Yes"	"1"	4434
	"Ohio"	"39"	"2018"	"2018"	"No"	"2"	130688
	"Ohio"	"39"	"2018"	"2018"	"Unknown or Not Stated"	"9"	12
	"Ohio"	"39"	"2019"	"2019"	"Yes"	"1"	4679
	"Ohio"	"39"	"2019"	"2019"	"No"	"2"	129774
	"Ohio"	"39"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Ohio"	"39"	"2020"	"2020"	"Yes"	"1"	4830
	"Ohio"	"39"	"2020"	"2020"	"No"	"2"	124345
	"Ohio"	"39"	"2020"	"2020"	"Unknown or Not Stated"	"9"	16
	"Ohio"	"39"	"2021"	"2021"	"Yes"	"1"	5402
	"Ohio"	"39"	"2021"	"2021"	"No"	"2"	124370
	"Ohio"	"39"	"2021"	"2021"	"Unknown or Not Stated"	"9"	19
	"Ohio"	"39"	"2022"	"2022"	"Yes"	"1"	5877
	"Ohio"	"39"	"2022"	"2022"	"No"	"2"	122323
	"Ohio"	"39"	"2022"	"2022"	"Unknown or Not Stated"	"9"	31
	"Ohio"	"39"	"2023"	"2023"	"Yes"	"1"	6200
	"Ohio"	"39"	"2023"	"2023"	"No"	"2"	120683
	"Ohio"	"39"	"2023"	"2023"	"Unknown or Not Stated"	"9"	13
	"Oklahoma"	"40"	"2010"	"2010"	"Yes"	"1"	843
	"Oklahoma"	"40"	"2010"	"2010"	"No"	"2"	52393
	"Oklahoma"	"40"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2011"	"2011"	"Yes"	"1"	967
	"Oklahoma"	"40"	"2011"	"2011"	"No"	"2"	51304
	"Oklahoma"	"40"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2012"	"2012"	"Yes"	"1"	892
	"Oklahoma"	"40"	"2012"	"2012"	"No"	"2"	51859
	"Oklahoma"	"40"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Oklahoma"	"40"	"2013"	"2013"	"Yes"	"1"	802
	"Oklahoma"	"40"	"2013"	"2013"	"No"	"2"	52567
	"Oklahoma"	"40"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Oklahoma"	"40"	"2014"	"2014"	"Yes"	"1"	966
	"Oklahoma"	"40"	"2014"	"2014"	"No"	"2"	52373
	"Oklahoma"	"40"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Oklahoma"	"40"	"2015"	"2015"	"Yes"	"1"	1072
	"Oklahoma"	"40"	"2015"	"2015"	"No"	"2"	52050
	"Oklahoma"	"40"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Oklahoma"	"40"	"2016"	"2016"	"Yes"	"1"	1114
	"Oklahoma"	"40"	"2016"	"2016"	"No"	"2"	51477
	"Oklahoma"	"40"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2017"	"2017"	"Yes"	"1"	1250
	"Oklahoma"	"40"	"2017"	"2017"	"No"	"2"	48963
	"Oklahoma"	"40"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2018"	"2018"	"Yes"	"1"	1385
	"Oklahoma"	"40"	"2018"	"2018"	"No"	"2"	48415
	"Oklahoma"	"40"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Oklahoma"	"40"	"2019"	"2019"	"Yes"	"1"	1496
	"Oklahoma"	"40"	"2019"	"2019"	"No"	"2"	47645
	"Oklahoma"	"40"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2020"	"2020"	"Yes"	"1"	1533
	"Oklahoma"	"40"	"2020"	"2020"	"No"	"2"	46090
	"Oklahoma"	"40"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Oklahoma"	"40"	"2021"	"2021"	"Yes"	"1"	1603
	"Oklahoma"	"40"	"2021"	"2021"	"No"	"2"	46801
	"Oklahoma"	"40"	"2021"	"2021"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2022"	"2022"	"Yes"	"1"	1572
	"Oklahoma"	"40"	"2022"	"2022"	"No"	"2"	46757
	"Oklahoma"	"40"	"2022"	"2022"	"Unknown or Not Stated"	"9"	Suppressed
	"Oklahoma"	"40"	"2023"	"2023"	"Yes"	"1"	1608
	"Oklahoma"	"40"	"2023"	"2023"	"No"	"2"	46293
	"Oklahoma"	"40"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"Pennsylvania"	"42"	"2010"	"2010"	"Yes"	"1"	2298
	"Pennsylvania"	"42"	"2010"	"2010"	"No"	"2"	141009
	"Pennsylvania"	"42"	"2010"	"2010"	"Unknown or Not Stated"	"9"	14
	"Pennsylvania"	"42"	"2011"	"2011"	"Yes"	"1"	2470
	"Pennsylvania"	"42"	"2011"	"2011"	"No"	"2"	140683
	"Pennsylvania"	"42"	"2011"	"2011"	"Unknown or Not Stated"	"9"	25
	"Pennsylvania"	"42"	"2012"	"2012"	"Yes"	"1"	2425
	"Pennsylvania"	"42"	"2012"	"2012"	"No"	"2"	140064
	"Pennsylvania"	"42"	"2012"	"2012"	"Unknown or Not Stated"	"9"	25
	"Pennsylvania"	"42"	"2013"	"2013"	"Yes"	"1"	2435
	"Pennsylvania"	"42"	"2013"	"2013"	"No"	"2"	138468
	"Pennsylvania"	"42"	"2013"	"2013"	"Unknown or Not Stated"	"9"	18
	"Pennsylvania"	"42"	"2014"	"2014"	"Yes"	"1"	2519
	"Pennsylvania"	"42"	"2014"	"2014"	"No"	"2"	139723
	"Pennsylvania"	"42"	"2014"	"2014"	"Unknown or Not Stated"	"9"	26
	"Pennsylvania"	"42"	"2015"	"2015"	"Yes"	"1"	2614
	"Pennsylvania"	"42"	"2015"	"2015"	"No"	"2"	138423
	"Pennsylvania"	"42"	"2015"	"2015"	"Unknown or Not Stated"	"9"	10
	"Pennsylvania"	"42"	"2016"	"2016"	"Yes"	"1"	2630
	"Pennsylvania"	"42"	"2016"	"2016"	"No"	"2"	136758
	"Pennsylvania"	"42"	"2016"	"2016"	"Unknown or Not Stated"	"9"	21
	"Pennsylvania"	"42"	"2017"	"2017"	"Yes"	"1"	2830
	"Pennsylvania"	"42"	"2017"	"2017"	"No"	"2"	134887
	"Pennsylvania"	"42"	"2017"	"2017"	"Unknown or Not Stated"	"9"	28
	"Pennsylvania"	"42"	"2018"	"2018"	"Yes"	"1"	2988
	"Pennsylvania"	"42"	"2018"	"2018"	"No"	"2"	132647
	"Pennsylvania"	"42"	"2018"	"2018"	"Unknown or Not Stated"	"9"	38
	"Pennsylvania"	"42"	"2019"	"2019"	"Yes"	"1"	3090
	"Pennsylvania"	"42"	"2019"	"2019"	"No"	"2"	131108
	"Pennsylvania"	"42"	"2019"	"2019"	"Unknown or Not Stated"	"9"	32
	"Pennsylvania"	"42"	"2020"	"2020"	"Yes"	"1"	3943
	"Pennsylvania"	"42"	"2020"	"2020"	"No"	"2"	126705
	"Pennsylvania"	"42"	"2020"	"2020"	"Unknown or Not Stated"	"9"	45
	"Pennsylvania"	"42"	"2021"	"2021"	"Yes"	"1"	4235
	"Pennsylvania"	"42"	"2021"	"2021"	"No"	"2"	128114
	"Pennsylvania"	"42"	"2021"	"2021"	"Unknown or Not Stated"	"9"	273
	"Pennsylvania"	"42"	"2022"	"2022"	"Yes"	"1"	4511
	"Pennsylvania"	"42"	"2022"	"2022"	"No"	"2"	124302
	"Pennsylvania"	"42"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1439
	"Pennsylvania"	"42"	"2023"	"2023"	"Yes"	"1"	4799
	"Pennsylvania"	"42"	"2023"	"2023"	"No"	"2"	121654
	"Pennsylvania"	"42"	"2023"	"2023"	"Unknown or Not Stated"	"9"	498
	"South Carolina"	"45"	"2010"	"2010"	"Yes"	"1"	1587
	"South Carolina"	"45"	"2010"	"2010"	"No"	"2"	56730
	"South Carolina"	"45"	"2010"	"2010"	"Unknown or Not Stated"	"9"	25
	"South Carolina"	"45"	"2011"	"2011"	"Yes"	"1"	1563
	"South Carolina"	"45"	"2011"	"2011"	"No"	"2"	55809
	"South Carolina"	"45"	"2011"	"2011"	"Unknown or Not Stated"	"9"	21
	"South Carolina"	"45"	"2012"	"2012"	"Yes"	"1"	1431
	"South Carolina"	"45"	"2012"	"2012"	"No"	"2"	55720
	"South Carolina"	"45"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2013"	"2013"	"Yes"	"1"	1250
	"South Carolina"	"45"	"2013"	"2013"	"No"	"2"	55526
	"South Carolina"	"45"	"2013"	"2013"	"Unknown or Not Stated"	"9"	19
	"South Carolina"	"45"	"2014"	"2014"	"Yes"	"1"	1483
	"South Carolina"	"45"	"2014"	"2014"	"No"	"2"	56138
	"South Carolina"	"45"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2015"	"2015"	"Yes"	"1"	1600
	"South Carolina"	"45"	"2015"	"2015"	"No"	"2"	56533
	"South Carolina"	"45"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2016"	"2016"	"Yes"	"1"	1697
	"South Carolina"	"45"	"2016"	"2016"	"No"	"2"	55643
	"South Carolina"	"45"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2017"	"2017"	"Yes"	"1"	1775
	"South Carolina"	"45"	"2017"	"2017"	"No"	"2"	55251
	"South Carolina"	"45"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2018"	"2018"	"Yes"	"1"	1950
	"South Carolina"	"45"	"2018"	"2018"	"No"	"2"	54715
	"South Carolina"	"45"	"2018"	"2018"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2019"	"2019"	"Yes"	"1"	2031
	"South Carolina"	"45"	"2019"	"2019"	"No"	"2"	55003
	"South Carolina"	"45"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2020"	"2020"	"Yes"	"1"	2364
	"South Carolina"	"45"	"2020"	"2020"	"No"	"2"	53335
	"South Carolina"	"45"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"South Carolina"	"45"	"2021"	"2021"	"Yes"	"1"	2268
	"South Carolina"	"45"	"2021"	"2021"	"No"	"2"	54850
	"South Carolina"	"45"	"2021"	"2021"	"Unknown or Not Stated"	"9"	67
	"South Carolina"	"45"	"2022"	"2022"	"Yes"	"1"	2763
	"South Carolina"	"45"	"2022"	"2022"	"No"	"2"	54995
	"South Carolina"	"45"	"2022"	"2022"	"Unknown or Not Stated"	"9"	62
	"South Carolina"	"45"	"2023"	"2023"	"Yes"	"1"	2893
	"South Carolina"	"45"	"2023"	"2023"	"No"	"2"	54791
	"South Carolina"	"45"	"2023"	"2023"	"Unknown or Not Stated"	"9"	45
	"Texas"	"48"	"2010"	"2010"	"Yes"	"1"	3987
	"Texas"	"48"	"2010"	"2010"	"No"	"2"	382129
	"Texas"	"48"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2011"	"2011"	"Yes"	"1"	4272
	"Texas"	"48"	"2011"	"2011"	"No"	"2"	373171
	"Texas"	"48"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2012"	"2012"	"Yes"	"1"	4041
	"Texas"	"48"	"2012"	"2012"	"No"	"2"	378683
	"Texas"	"48"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2013"	"2013"	"Yes"	"1"	4701
	"Texas"	"48"	"2013"	"2013"	"No"	"2"	382635
	"Texas"	"48"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2014"	"2014"	"Yes"	"1"	4944
	"Texas"	"48"	"2014"	"2014"	"No"	"2"	394820
	"Texas"	"48"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2015"	"2015"	"Yes"	"1"	5231
	"Texas"	"48"	"2015"	"2015"	"No"	"2"	398385
	"Texas"	"48"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2016"	"2016"	"Yes"	"1"	4952
	"Texas"	"48"	"2016"	"2016"	"No"	"2"	393093
	"Texas"	"48"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2017"	"2017"	"Yes"	"1"	5284
	"Texas"	"48"	"2017"	"2017"	"No"	"2"	376765
	"Texas"	"48"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"Texas"	"48"	"2018"	"2018"	"Yes"	"1"	5743
	"Texas"	"48"	"2018"	"2018"	"No"	"2"	372848
	"Texas"	"48"	"2018"	"2018"	"Unknown or Not Stated"	"9"	33
	"Texas"	"48"	"2019"	"2019"	"Yes"	"1"	5434
	"Texas"	"48"	"2019"	"2019"	"No"	"2"	371765
	"Texas"	"48"	"2019"	"2019"	"Unknown or Not Stated"	"9"	400
	"Texas"	"48"	"2020"	"2020"	"Yes"	"1"	6294
	"Texas"	"48"	"2020"	"2020"	"No"	"2"	361399
	"Texas"	"48"	"2020"	"2020"	"Unknown or Not Stated"	"9"	497
	"Texas"	"48"	"2021"	"2021"	"Yes"	"1"	6567
	"Texas"	"48"	"2021"	"2021"	"No"	"2"	366469
	"Texas"	"48"	"2021"	"2021"	"Unknown or Not Stated"	"9"	558
	"Texas"	"48"	"2022"	"2022"	"Yes"	"1"	7533
	"Texas"	"48"	"2022"	"2022"	"No"	"2"	380821
	"Texas"	"48"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1387
